source,title,company,logo,experience,job_type,work_mode,salary,skills,published,modified,url,location,date_posted,date_ago,see_more
TuniJobs,Développeur Senior React Native / NodeJS - Télétravail,"Expérience
5-7 ans
Type d'emploi
CDI
Mode de travail
Télétravail complet
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,5-7 ans,N/A,Télétravail complet,Confidentiel,"React Native
React
NodeJS
+1 de plus",N/A,N/A,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-developpeur-senior-react-native-nodejs-teletravail,,,,
TuniJobs,Chargé(e) de télévente (BtoB) - Télétravail,"Expérience
6-12 mois
Type d'emploi
CDI
Mode de travail
Télétravail complet
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,6-12 mois,N/A,Télétravail complet,Confidentiel,"télévente
adv",N/A,N/A,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-charge-e-de-televente-btob-teletravail,,,,
TuniJobs,Conseiller Commercial Mutuelle Santé & Prévoyance (H/F),"Expérience
6-12 mois
Type d'emploi
CDI
Mode de travail
Présentiel
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68d12ab060b99373a90ec170%2Fc2f27f59-2123-49c2-9984-d011ff838d5c.png&w=128&q=75,6-12 mois,N/A,Présentiel,Confidentiel,"Sens du service et de l'écoute, Aptitude à l'argumentation commerciale.
Dynamisme, Proactivité, Capacité d'apprentissage rapide.",N/A,N/A,https://www.tunijobs.com/company/adam-eden-eva/jobs/adam-eden-eva-conseiller-commercial-mutuelle-sante-and-prevoyance-h-f,,,,
TuniJobs,Chef(fe) de projet IT H/F,"Expérience
5-7 ans
Type d'emploi
CDD
Mode de travail
Télétravail complet
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6904ede491dd87b31ee5f1b7%2Fd74cd597-f958-43c6-b3d0-7c9e02b4c5f6.jpg&w=128&q=75,5-7 ans,N/A,Télétravail complet,Confidentiel,"En tant que chef(fe) de projet IT, vous serez responsable de : Planification de projet : Définir les objectifs, les délais et les ressources nécessaires pour le projet. Élaborer un plan de projet détaillé. Gestion d'équipe : Coordonner et superviser les équipes techniques et fonctionnelles, en veillant à la bonne répartition des tâches et à la motivation des membres. Suivi de l'avancement : Assurer le suivi de l'avancement du projet, identifier les risques et les problèmes potentiels, et mettre en place des actions correctives. Communication : Servir de point de contact principal entre les parties prenantes, y compris les clients, les équipes internes et la direction. Rendre compte de l'état d'avancement et des résultats du projet. Gestion budgétaire : Établir et suivre le budget du projet, en veillant à respecter les coûts prévus et à optimiser les ressources. Tests et validation : Organiser et superviser les phases de tests pour garantir la qualité des livrables avant leur mise en production.",N/A,N/A,https://www.tunijobs.com/company/palma-talents/jobs/palma-talents-chef-fe-de-projet-it-h-f,,,,
TuniJobs,Ingénieur du son Live/Studio,"Expérience
5-7 ans
Type d'emploi
CDI
Mode de travail
Présentiel
Rémunération
600 - 800 DT",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F69089f7c83dab8a0fd23c7ae%2Fc6363a54-dc18-40cb-9f2f-e8ad1a7795a0.jpg&w=128&q=75,5-7 ans,N/A,Présentiel,600 - 800 DT,"Logiciels: Reaper + Pro Tools + Melodyne
Langues parlées: Français & Anglais",N/A,N/A,https://www.tunijobs.com/company/makemusic/jobs/makemusic-ingenieur-du-son-live-studio,,,,
TuniJobs,Développeur Senior React Native / NodeJS - Télétravail,"Expérience
5-7 ans
Type d'emploi
CDI
Mode de travail
Télétravail complet
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,5-7 ans,N/A,Télétravail complet,Confidentiel,"React Native
React
NodeJS
+1 de plus",N/A,N/A,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-developpeur-senior-react-native-nodejs-teletravail,,,,
TuniJobs,Office Manager,"Expérience
1-2 ans
Type d'emploi
CDI
Mode de travail
Hybride
Rémunération
800 - 1150 DT",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6904ba3b91dd87b31ee5eb7b%2Fe57e85cd-b283-40e3-9f91-0ea166bdcd23.png&w=128&q=75,1-2 ans,N/A,Hybride,800 - 1150 DT,"Traduction
Création contenu",N/A,N/A,https://www.tunijobs.com/company/biderja/jobs/biderja-office-manager,,,,
TuniJobs,Commercial,"Expérience
1-2 ans
Type d'emploi
CDI
Mode de travail
Hybride
Rémunération
750 - 1200 DT",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6904ba3b91dd87b31ee5eb7b%2Fe57e85cd-b283-40e3-9f91-0ea166bdcd23.png&w=128&q=75,1-2 ans,N/A,Hybride,750 - 1200 DT,"Communication de vente
Français",N/A,N/A,https://www.tunijobs.com/company/biderja/jobs/biderja-commercial,,,,
TuniJobs,Chargé(e) de télévente (BtoB) - Télétravail,"Expérience
6-12 mois
Type d'emploi
CDI
Mode de travail
Télétravail complet
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,6-12 mois,N/A,Télétravail complet,Confidentiel,"télévente
adv",N/A,N/A,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-charge-e-de-televente-btob-teletravail,,,,
TuniJobs,MANAGER EXPÉRIENCE CLIENT (CX) – Wamia.tn,"Expérience
5-7 ans
Type d'emploi
CDI
Mode de travail
Présentiel
Rémunération
Confidentiel",https://www.tunijobs.com/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68da9e19797a027b968ddb81%2Fc4c6db4e-c74b-4305-a106-33c084dc4954.jpg&w=128&q=75,5-7 ans,N/A,Présentiel,Confidentiel,"Mentalité ""Problem-Solver""
Résistance au Stress Maximale
Empathie Client Absolue
+2 de plus",N/A,N/A,https://www.tunijobs.com/company/ste-wamia/jobs/ste-wamia-manager-experience-client-cx-wamia-tn,,,,
